año,mes,mes_numero,tipo,origen,destino,compañia,tipo_avion,capacidad,fuente
2022,Marzo,3,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Abril,4,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Mayo,5,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Junio,6,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Julio,7,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Agosto,8,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Septiembre,9,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Octubre,10,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Noviembre,11,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Diciembre,12,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2023,Enero,1,Salida,AIFA,Mérida,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Marzo,3,Salida,AIFA,Villahermosa,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Abril,4,Salida,AIFA,Villahermosa,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Mayo,5,Salida,AIFA,Villahermosa,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Junio,6,Salida,AIFA,Villahermosa,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Julio,7,Salida,AIFA,Villahermosa,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Agosto,8,Salida,AIFA,Villahermosa,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Mayo,5,Salida,AIFA,Pto. Vallarta,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Junio,6,Salida,AIFA,Pto. Vallarta,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Julio,7,Salida,AIFA,Pto. Vallarta,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Agosto,8,Salida,AIFA,Pto. Vallarta,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Septiembre,9,Salida,AIFA,Pto. Vallarta,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Octubre,10,Salida,AIFA,Pto. Vallarta,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Noviembre,11,Salida,AIFA,Pto. Vallarta,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
2022,Diciembre,12,Salida,AIFA,Pto. Vallarta,Aeroméxico,E190,99,https://www.seatguru.com/airlines/AeroMexico/AeroMexico_Embraer_ERJ-190.php
